"measure","status","current_description","replacement_description","expression"
"meas.ssr_history_won_amt_diff","KEEP","Measure calculating ssr history won amt diff. Respects the current filter context.","Returns won amount difference.","var _selected_item = SELECTEDVALUE(time_intelligence[filt_item])
			
			-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)
			
			-- get data for overridden date periods but still contextual
			var mtd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_won_amt],cal_end_dates[Date] >=  start_date_mtd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_won_amt],cal_end_dates[Date] >=  start_date_mtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),          // mtd calculation
			    CALCULATE([meas.ssr_history_won_amt],cal_end_dates[Date] >=  start_date_mtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var qtd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_won_amt],cal_end_dates[Date] >=  start_date_qtd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_won_amt],cal_end_dates[Date] >=  start_date_qtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),          // qtd calculation
			    CALCULATE([meas.ssr_history_won_amt],cal_end_dates[Date] >=  start_date_qtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var ytd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_won_amt],cal_end_dates[Date] >=  start_date_ytd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_won_amt],cal_end_dates[Date] >=  start_date_ytd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),      // ytd calculation
			    CALCULATE([meas.ssr_history_won_amt],cal_end_dates[Date] >=  start_date_ytd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var res = IF(
			    _selected_item=""MTD"", 
			    mtd_delta,
			    IF(
			        _selected_item=""QTD"",
			        qtd_delta,
			        IF(
			            _selected_item=""YTD"",
			            ytd_delta
			        )
			    )
			)
			
			
			RETURN
			res"
"meas.ssr_history_won_amt_existing_customer_selling","KEEP","Measure calculating ssr history won amt existing customer selling. Respects the current filter context.","Summarizes won amount existing customer selling where step is Existing Customer Selling.","CALCULATE(SUM(ssr_history[opp_won_amt]), ssr_history[step_name]=""Existing Customer Selling"")"
"meas.ssr_history_won_amt_new_logo","KEEP","Measure calculating ssr history won amt new logo. Respects the current filter context.","Summarizes won amount new logo where step is New Logo Selling.","CALCULATE(SUM(ssr_history[opp_won_amt]), ssr_history[step_name]=""New Logo Selling"")"
"meas.ssr_history_won_amt_sply_diff","KEEP","Measure calculating ssr history won amt sply diff. Respects the current filter context.","Calculates won amount same period last year difference in the current reporting context.",""
"meas.ssr_history_won_count","KEEP","Count of ssr history won count. Respects the current filter context.","Calculates won count in the current reporting context.",""
"meas.ssr_history_won_count_diff","KEEP","Count of ssr history won count diff. Respects the current filter context.","Returns won count difference.","var _selected_item = SELECTEDVALUE(time_intelligence[filt_item])
			
			-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)
			
			-- get data for overridden date periods but still contextual
			var mtd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_won_count],cal_end_dates[Date] >=  start_date_mtd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_won_count],cal_end_dates[Date] >=  start_date_mtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),          // mtd calculation
			    CALCULATE([meas.ssr_history_won_count],cal_end_dates[Date] >=  start_date_mtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var qtd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_won_count],cal_end_dates[Date] >=  start_date_qtd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_won_count],cal_end_dates[Date] >=  start_date_qtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),          // qtd calculation
			    CALCULATE([meas.ssr_history_won_count],cal_end_dates[Date] >=  start_date_qtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var ytd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_won_count],cal_end_dates[Date] >=  start_date_ytd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_won_count],cal_end_dates[Date] >=  start_date_ytd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),      // ytd calculation
			    CALCULATE([meas.ssr_history_won_count],cal_end_dates[Date] >=  start_date_ytd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var res = IF(
			    _selected_item=""MTD"", 
			    mtd_delta,
			    IF(
			        _selected_item=""QTD"",
			        qtd_delta,
			        IF(
			            _selected_item=""YTD"",
			            ytd_delta
			        )
			    )
			)
			
			
			RETURN
			res"
"meas.ssr_leads_time_to_touch_days","KEEP","Measure calculating ssr leads time to touch days. Respects the current filter context.","Calculates ssr leads time to touch days in the current reporting context.",""
"meas.ssr_open_lead_crm_leadsource","KEEP","Measure calculating ssr open lead crm leadsource. Respects the current filter context.","Calculates ssr open lead crm leadsource in the current reporting context.",""
"meas.ssr_open_leads_accts_added_date","KEEP","Measure calculating ssr open leads accts added date. Respects the current filter context.","Calculates ssr open leads accounts added date in the current reporting context.",""
"meas.ssr_open_leads_accts_first_touch_date","KEEP","Measure calculating ssr open leads accts first touch date. Respects the current filter context.","Calculates ssr open leads accounts first touch date in the current reporting context.",""
"meas.ssr_open_leads_accts_name","KEEP","Measure calculating ssr open leads accts name. Respects the current filter context.","Calculates ssr open leads accounts name in the current reporting context.",""
"meas.ssr_open_leads_accts_potential_acv","KEEP","Measure calculating ssr open leads accts potential acv. Respects the current filter context.","Returns ssr open leads accounts potential acv.","var sel_date = [meas.sel_date] // get the selected date 
			
			var temp_tbl = CALCULATETABLE(ssr ,  cal_end_dates[Date] <= date(2100,1,1) ) // start by filtering the table to the appropriate period and override the end date to include open item,s 
			
			var filter_tbl  =
			FILTER (
			    temp_tbl,
			    ssr[_sys_doc_id] = 
			    CALCULATE (
			          MAX ( ssr[_sys_doc_id] ),
			        FILTER (
			            all(ssr),
			            ssr[_sys_doc_id] = EARLIER ( ssr[_sys_doc_id] ) // this checks all the other values if it is the relevant one
			            &&  ssr[_sys_filt_start_date] < sel_date  // this ensures that we exclude anything after the selected date - important!
			        )
			    )
			)
			Var res  = SUMX(filter_tbl,[trueai_potential_acv] )
			RETURN res"
"meas.ssr_open_leads_avg_prediction_conv_rate","KEEP","Rate of ssr open leads avg prediction conv rate. Respects the current filter context.","Calculates the number of ssr open leads average prediction conv rate.","var sel_date = [meas.sel_date] // get the selected date 
			
			var temp_tbl = CALCULATETABLE(
			        ssr_history ,   
			        cal_end_dates[Date] <= date(2100,1,1)  // start by filtering the table to the appropriate period and overrider the end date to include open item
			    )
			
			var sum_tbl1 = SUMMARIZE(
			    temp_tbl, 
			    [_sys_ssr_id], 
			    ""count_id"", Count([_sys_doc_id]), 
			    ""max_sys_doc_id"", MAX(ssr_history[_sys_doc_id]) // aggregate and get the most recent entry
			)
			
			VAR most_recent_entries = 
			    FILTER(
			        temp_tbl, // use the already filtered table to ensure correct rows
			        ssr_history[_sys_doc_id] IN SELECTCOLUMNS(sum_tbl1, ""max_sys_doc_id"", [max_sys_doc_id]) // use an in statement w/ selectcol to filter just those rows
			        )
			        
			    
			
			var res =   AVERAGEX(sum_tbl1, [meas.ssr_trueai_conversion_rate]) // COUNTX(most_recent_entries, [_sys_doc_id]) // do the agg opes 
			
			RETURN
			res"
"meas.ssr_open_leads_count","KEEP","Count of ssr open leads count. Respects the current filter context.","Calculates the number of ssr open leads count.","var sel_date = [meas.sel_date] // get the selected date 
			
			//var temp_res =  CALCULATE(COUNT(ssr_history[_sys_doc_id]))
			var temp_tbl = CALCULATETABLE(ssr_history ,  cal_end_dates[Date] <= date(2100,1,1) ) // start by filtering the table to the appropriate period and override the end date to include open item,s 
			
			var filter_tbl  =
			FILTER (
			    temp_tbl,
			    ssr_history[_sys_doc_id] = 
			    CALCULATE (
			          MAX ( ssr_history[_sys_doc_id] ),
			        FILTER (
			            all(ssr_history),
			            ssr_history[_sys_ssr_id] = EARLIER ( ssr_history[_sys_ssr_id] ) // this checks all the other values if it is the relevant one
			            &&  ssr_history[_sys_filt_start_date] < sel_date  // this ensures that we exclude anything after the selected date - important!
			        )
			    )
			)
			Var res  = countx(filter_tbl,[_sys_doc_id] )
			RETURN res"
"meas.ssr_open_trueai_industry","KEEP","Measure calculating ssr open trueai industry. Respects the current filter context.","Calculates ssr open trueai industry in the current reporting context.",""
"meas.ssr_target_abandoned_acct_count","KEEP","Count of ssr target abandoned acct count. Respects the current filter context.","Calculates ssr target abandoned account count in the current reporting context.",""
"meas.ssr_target_acct_count","KEEP","Count of ssr target acct count. Respects the current filter context.","Calculates ssr target account count in the current reporting context.",""
"meas.ssr_target_converted_acct_count","KEEP","Count of ssr target converted acct count. Respects the current filter context.","Calculates ssr target converted account count in the current reporting context.",""
"meas.ssr_target_disqualified_acct_count","KEEP","Count of ssr target disqualified acct count. Respects the current filter context.","Calculates ssr target disqualified account count in the current reporting context.",""
"meas.ssr_total_abandoned_leads_count","KEEP","Count of ssr total abandoned leads count. Respects the current filter context.","Calculates ssr total abandoned leads count in the current reporting context.",""
"meas.ssr_total_ignored_leads_count","KEEP","Count of ssr total ignored leads count. Respects the current filter context.","Calculates ssr total ignored leads count in the current reporting context.",""
"meas.ssr_total_open_leads_count","KEEP","Count of ssr total open leads count. Respects the current filter context.","Calculates the number of ssr total open leads count.","var sel_date = [meas.sel_date] // get the selected date 
			
			var temp_tbl = CALCULATETABLE(
			        ssr_history ,   
			        cal_end_dates[Date] <= date(2100,1,1)  // start by filtering the table to the appropriate period and overrider the end date to include open item
			    )
			var rpt_tbl = FILTER(
			    temp_tbl,
			    ssr_history[step_outcome] in {""Abandoned"", ""Ignored"", ""Prospecting"", ""Untouched""} && ssr_history[_sys_filt_start_date] <= sel_date
			)
			
			var sum_tbl1 = SUMMARIZE(
			    rpt_tbl, 
			    [_sys_ssr_id], 
			    ""count_id"", Count([_sys_doc_id]), 
			    ""max_sys_doc_id"", MAX(ssr_history[_sys_doc_id]) // aggregate and get the most recent entry
			)
			
			VAR most_recent_entries = 
			    FILTER(
			        rpt_tbl, // use the already filtered table to ensure correct rows
			        ssr_history[_sys_doc_id] IN SELECTCOLUMNS(sum_tbl1, ""max_sys_doc_id"", [max_sys_doc_id]) // use an in statement w/ selectcol to filter just those rows
			        )
			        
			    
			
			var res =   COUNTROWS(sum_tbl1) // COUNTX(most_recent_entries, [_sys_doc_id]) // do the agg opes 
			
			RETURN
			res"
"meas.ssr_total_untouched_leads_count","KEEP","Count of ssr total untouched leads count. Respects the current filter context.","Calculates ssr total untouched leads count in the current reporting context.",""
"meas.step_outcome","KEEP","Measure calculating step outcome. Respects the current filter context.","Returns step outcome.","VAR sel_date = CALCULATE(MAX(cal_start_dates[Date]))
			VAR res = 
			    CALCULATE (
			        MAX(ssr_history[step_outcome])
			    )
			RETURN
			res"
"meas.step_owner_group","KEEP","Measure calculating step owner group. Respects the current filter context.","Calculates step owner group in the current reporting context.",""
"meas.step_owner_role","KEEP","Measure calculating step owner role. Respects the current filter context.","Returns step owner role.","var cols = MAX(users[col.trueai_user_role_coid_aliased])           // getting the role 
			
			RETURN  cols"
"meas.step_owner_user_role_aliased","KEEP","Measure calculating step owner user role aliased. Respects the current filter context.","Helper measure used for internal calculations, dynamic formatting, or visual behavior.",""
"meas.step_users_total","KEEP","Measure calculating step users total. Respects the current filter context.","Summarizes step users total.","SUM(ssr_history[step_users_tot])"
"meas.stkhlds_all_act_count","KEEP","Count of stkhlds all act count. Respects the current filter context.","Summarizes all activities from stakeholders.","CALCULATE(sum(ssr_history[stkhlds_all_act_count]))"
"meas.stkhlds_all_act_counts","KEEP","Count of stkhlds all act counts. Respects the current filter context.","Summarizes all activities from stakeholders.",""
"meas.stkhlds_all_act_email_count","KEEP","Count of stkhlds all act email count. Respects the current filter context.","Summarizes all emails from stakeholders.","CALCULATE(MAX(ssr_history[stkhlds_all_act_type_email_count]))"
"meas.stkhlds_all_act_eng_counts","KEEP","Count of stkhlds all act eng counts. Respects the current filter context.","Summarizes all activities from stakeholders.",""
